,0,1
0,1000000_10000000_T1,0
1,1000000_10000000_T2,1
2,1000000_10000000_T3,2
3,1000001_10000001_T1,3
4,1000001_10000001_T2,4
5,1000001_10000001_T3,5
6,1000002_10000002_T1,6
7,1000002_10000002_T2,7
8,1000002_10000002_T3,8
9,1000003_10000003_T1,9
10,1000003_10000003_T2,10
11,1000003_10000003_T3,11
12,1000004_10000004_T1,12
13,1000004_10000004_T2,13
14,1000004_10000004_T3,14
15,1000005_10000005_T1,15
16,1000005_10000005_T2,16
17,1000005_10000005_T3,17
18,1000006_10000006_T1,18
19,1000006_10000006_T2,19
20,1000006_10000006_T3,20
21,1000007_10000007_T1,21
22,1000007_10000007_T2,22
23,1000007_10000007_T3,23
24,1000008_10000008_T1,24
25,1000008_10000008_T2,25
26,1000008_10000008_T3,26
27,1000011_10000011_T1,27
28,1000011_10000011_T2,28
29,1000011_10000011_T3,29
30,1000013_10000013_T1,30
31,1000013_10000013_T2,31
32,1000013_10000013_T3,32
33,1000015_10000015_T1,33
34,1000015_10000015_T2,34
35,1000015_10000015_T3,35
36,1000017_10000017_T1,36
37,1000017_10000017_T2,37
38,1000017_10000017_T3,38
39,1000018_10000018_T1,39
40,1000018_10000018_T2,40
41,1000018_10000018_T3,41
